train,val,test
BRACS_264,BRACS_1833,BRACS_1240
BRACS_265,BRACS_3324,BRACS_1995
BRACS_745,BRACS_1003700,BRACS_1244
BRACS_760,BRACS_1269,BRACS_1003685
BRACS_761,BRACS_1880,BRACS_1621
BRACS_1241,BRACS_1785,BRACS_3309
BRACS_1248,BRACS_758,BRACS_1917
BRACS_1249,BRACS_3272,BRACS_1583
BRACS_1251,BRACS_1617,BRACS_1879
BRACS_1253,BRACS_1242,BRACS_1582
BRACS_1255,BRACS_3275,BRACS_1595
BRACS_1259,BRACS_1267,BRACS_2001
BRACS_1261,BRACS_1618,BRACS_1896
BRACS_1270,BRACS_1003671,BRACS_1296
BRACS_1273,BRACS_1003717,BRACS_1904
BRACS_1274,BRACS_1824,BRACS_1324
BRACS_1275,BRACS_3277,BRACS_1619
BRACS_1276,BRACS_1981,BRACS_3276
BRACS_1295,BRACS_1834,BRACS_3274
BRACS_1321,BRACS_1855,BRACS_1974
BRACS_1322,BRACS_1370,BRACS_1318
BRACS_1325,BRACS_1404,BRACS_1320
BRACS_1326,BRACS_3322,BRACS_1604
BRACS_1327,BRACS_1338,BRACS_3312
BRACS_1329,BRACS_1846,BRACS_1336
BRACS_1330,BRACS_1952,BRACS_1942
BRACS_1334,BRACS_1970,BRACS_736
BRACS_1335,BRACS_1392,BRACS_1652
BRACS_1337,BRACS_1587,BRACS_292
BRACS_1378,BRACS_1289,BRACS_3290
BRACS_1385,BRACS_1360,BRACS_3321
BRACS_1386,BRACS_1921,BRACS_1590
BRACS_1401,BRACS_305,BRACS_1653
BRACS_1403,BRACS_1920,BRACS_1003723
BRACS_1405,BRACS_3289,BRACS_3314
BRACS_1408,BRACS_1003697,BRACS_1831
BRACS_1409,BRACS_1812,BRACS_1497
BRACS_1412,BRACS_1003722,BRACS_3308
BRACS_1416,BRACS_737,BRACS_1823
BRACS_1423,BRACS_1003727,BRACS_740
BRACS_1424,BRACS_286,BRACS_1654
BRACS_1480,BRACS_1931,BRACS_1489
BRACS_1483,BRACS_1639,BRACS_1923
BRACS_1485,BRACS_1003732,BRACS_1928
BRACS_1493,BRACS_750,BRACS_749
BRACS_1495,BRACS_1977,BRACS_1250
BRACS_1498,BRACS_1838,BRACS_1982
BRACS_1507,BRACS_1257,BRACS_1895
BRACS_1508,BRACS_1885,BRACS_1774
BRACS_1511,BRACS_1865,BRACS_1856
BRACS_1513,BRACS_1911,BRACS_1987
BRACS_1579,BRACS_1506,BRACS_1003694
BRACS_1581,BRACS_1857,BRACS_1954
BRACS_1584,BRACS_1778,BRACS_1825
BRACS_1585,,
BRACS_1591,,
BRACS_1592,,
BRACS_1593,,
BRACS_1594,,
BRACS_1596,,
BRACS_1598,,
BRACS_1599,,
BRACS_1601,,
BRACS_1603,,
BRACS_1605,,
BRACS_1606,,
BRACS_1608,,
BRACS_1609,,
BRACS_1612,,
BRACS_1614,,
BRACS_1620,,
BRACS_1631,,
BRACS_1632,,
BRACS_1633,,
BRACS_1634,,
BRACS_1640,,
BRACS_1641,,
BRACS_1642,,
BRACS_1645,,
BRACS_1655,,
BRACS_1656,,
BRACS_1658,,
BRACS_1659,,
BRACS_1660,,
BRACS_1661,,
BRACS_1664,,
BRACS_1665,,
BRACS_1666,,
BRACS_1667,,
BRACS_1668,,
BRACS_1669,,
BRACS_1772,,
BRACS_1779,,
BRACS_1780,,
BRACS_1782,,
BRACS_1783,,
BRACS_1784,,
BRACS_1786,,
BRACS_1787,,
BRACS_1789,,
BRACS_1791,,
BRACS_1792,,
BRACS_1793,,
BRACS_1796,,
BRACS_1820,,
BRACS_1821,,
BRACS_1832,,
BRACS_1836,,
BRACS_1837,,
BRACS_1839,,
BRACS_1841,,
BRACS_1842,,
BRACS_1843,,
BRACS_1845,,
BRACS_1847,,
BRACS_1848,,
BRACS_1850,,
BRACS_1851,,
BRACS_1852,,
BRACS_1853,,
BRACS_1866,,
BRACS_1869,,
BRACS_1870,,
BRACS_1873,,
BRACS_1881,,
BRACS_1890,,
BRACS_1893,,
BRACS_1900,,
BRACS_1901,,
BRACS_1902,,
BRACS_1905,,
BRACS_1906,,
BRACS_1914,,
BRACS_1918,,
BRACS_1924,,
BRACS_1940,,
BRACS_1946,,
BRACS_1948,,
BRACS_1949,,
BRACS_1957,,
BRACS_1958,,
BRACS_1959,,
BRACS_1960,,
BRACS_1961,,
BRACS_1962,,
BRACS_1963,,
BRACS_1964,,
BRACS_1965,,
BRACS_1966,,
BRACS_1967,,
BRACS_1972,,
BRACS_1973,,
BRACS_1978,,
BRACS_1979,,
BRACS_1980,,
BRACS_1986,,
BRACS_1988,,
BRACS_1989,,
BRACS_1993,,
BRACS_1994,,
BRACS_1996,,
BRACS_1997,,
BRACS_1998,,
BRACS_2000,,
BRACS_2002,,
BRACS_2004,,
BRACS_2005,,
BRACS_3268,,
BRACS_3269,,
BRACS_3270,,
BRACS_3271,,
BRACS_3273,,
BRACS_3278,,
BRACS_3279,,
BRACS_3281,,
BRACS_3282,,
BRACS_3283,,
BRACS_3284,,
BRACS_3292,,
BRACS_3295,,
BRACS_3296,,
BRACS_3298,,
BRACS_3300,,
BRACS_3310,,
BRACS_3311,,
BRACS_3313,,
BRACS_3317,,
BRACS_3334,,
BRACS_3335,,
BRACS_3336,,
BRACS_3337,,
BRACS_1003658,,
BRACS_1003659,,
BRACS_1003660,,
BRACS_1003661,,
BRACS_1003668,,
BRACS_1003669,,
BRACS_1003672,,
BRACS_1003675,,
BRACS_1003686,,
BRACS_1003705,,
BRACS_1003706,,
BRACS_1003707,,
BRACS_1003710,,
BRACS_1003713,,
BRACS_1003714,,
BRACS_1003715,,
BRACS_1003716,,
BRACS_1003718,,
BRACS_1003724,,
BRACS_1003725,,
BRACS_1003730,,
BRACS_1003734,,
BRACS_280,,
BRACS_281,,
BRACS_283,,
BRACS_288,,
BRACS_291,,
BRACS_295,,
BRACS_297,,
BRACS_298,,
BRACS_301,,
BRACS_310,,
BRACS_311,,
BRACS_734,,
BRACS_735,,
BRACS_738,,
BRACS_739,,
BRACS_747,,
BRACS_748,,
BRACS_752,,
BRACS_753,,
BRACS_754,,
BRACS_755,,
BRACS_756,,
BRACS_757,,
BRACS_759,,
BRACS_762,,
BRACS_773,,
BRACS_1231,,
BRACS_1232,,
BRACS_1233,,
BRACS_1235,,
BRACS_1238,,
BRACS_1247,,
BRACS_1263,,
BRACS_1265,,
BRACS_1272,,
BRACS_1277,,
BRACS_1279,,
BRACS_1283,,
BRACS_1284,,
BRACS_1286,,
BRACS_1287,,
BRACS_1288,,
BRACS_1292,,
BRACS_1293,,
BRACS_1356,,
BRACS_1357,,
BRACS_1358,,
BRACS_1361,,
BRACS_1362,,
BRACS_1366,,
BRACS_1367,,
BRACS_1368,,
BRACS_1369,,
BRACS_1374,,
BRACS_1393,,
BRACS_1394,,
BRACS_1395,,
BRACS_1406,,
BRACS_1407,,
BRACS_1411,,
BRACS_1413,,
BRACS_1414,,
BRACS_1473,,
BRACS_1474,,
BRACS_1476,,
BRACS_1477,,
BRACS_1478,,
BRACS_1484,,
BRACS_1487,,
BRACS_1490,,
BRACS_1491,,
BRACS_1492,,
BRACS_1496,,
BRACS_1509,,
BRACS_1512,,
BRACS_1514,,
BRACS_1515,,
BRACS_1516,,
BRACS_1578,,
BRACS_1580,,
BRACS_1588,,
BRACS_1597,,
BRACS_1602,,
BRACS_1607,,
BRACS_1635,,
BRACS_1636,,
BRACS_1637,,
BRACS_1638,,
BRACS_1643,,
BRACS_1646,,
BRACS_1647,,
BRACS_1648,,
BRACS_1649,,
BRACS_1650,,
BRACS_1771,,
BRACS_1798,,
BRACS_1810,,
BRACS_1811,,
BRACS_1816,,
BRACS_1817,,
BRACS_1826,,
BRACS_1827,,
BRACS_1828,,
BRACS_1829,,
BRACS_1830,,
BRACS_1835,,
BRACS_1840,,
BRACS_1862,,
BRACS_1864,,
BRACS_1867,,
BRACS_1872,,
BRACS_1874,,
